tau,q1,q2,resource,meter,p1,p2,p_resource,p_meter,dissipated_energy,gross_transfer,integrated_tracking_residual,total_energy,local_pair_energy,asymmetry,meter_interface_energy,resource_to_pair_power,meter_to_pair_power,q_plus,p_plus,common_mode_energy
90,-0.09322502603,-0.2304708455,0.07762713447,-0.03112559715,-0.1247184412,-0.3517062056,0.2225161208,-0.1526803922,0.4729914117,2.076732952,9.307825889,0.1520085883,0.1080643963,0.07035986014,0.0003856339067,-0.005327103783,-0.001548988794,-0.2288875458,-0.3368830985,0.08293986533
90.1,-0.105493145,-0.2638367769,0.09922074267,-0.04624349059,-0.1205899489,-0.3147809337,0.2088560914,-0.1494181376,0.4732326519,2.077457962,9.308194184,0.1517673482,0.1072128925,0.06278284434,0.000351052155,-0.006171609312,-0.00142898256,-0.2611556923,-0.3078537034,0.08148809915
90.2,-0.1173291757,-0.2932717663,0.1193015947,-0.06095806404,-0.1160454677,-0.2732003464,0.1922945606,-0.1446216441,0.4734402374,2.078248017,9.308528432,0.1515597626,0.1063220402,0.0556534511,0.0003177702228,-0.006864982103,-0.001308322403,-0.2903387104,-0.2752383547,0.08002635933
90.3,-0.1286818123,-0.3183454362,0.1375902189,-0.07511847385,-0.110887739,-0.2276796365,0.1730511183,-0.1383453268,0.4736131287,2.079086743,9.308830535,0.1513868713,0.1054073826,0.04961263755,0.0002869031227,-0.007381575874,-0.001187903499,-0.3160959988,-0.2394032871,0.07861530716
90.4,-0.1394792533,-0.3387023129,0.1538308686,-0.08858014124,-0.1049057961,-0.178999157,0.1513802595,-0.1306598634,0.4737521419,2.079955073,9.309103255,0.1512478582,0.1044857526,0.04517965362,0.000259071961,-0.007692482958,-0.001067922374,-0.3381254281,-0.2007511175,0.07731490817
90.5,-0.1496283492,-0.3540675639,0.1677948821,-0.1012063137,-0.09788543743,-0.1279886603,0.1275687139,-0.121650864,0.4738598409,2.080830969,9.309349759,0.1511401591,0.1035757264,0.04270159654,0.0002344693517,-0.00776777796,-0.0009479624242,-0.3561667958,-0.1597171062,0.07618217021
90.6,-0.159014821,-0.3642511102,0.1792837565,-0.1128694842,-0.08962010535,-0.07551064007,0.1019323833,-0.1114173627,0.4739403311,2.081689403,9.309573221,0.1510596689,0.1026978761,0.04232101141,0.0002129392109,-0.00757958854,-0.0008271099891,-0.3700048883,-0.1167650699,0.07526884947
90.7,-0.1675045719,-0.3691500453,0.1881318958,-0.123452652,-0.07992179718,-0.02244316305,0.07481289619,-0.1000701685,0.4739989708,2.082502707,9.309776522,0.1510010293,0.1018747222,0.04396469031,0.0001940571647,-0.007105776411,-0.0007041417215,-0.379472119,-0.07238295754,0.07461919081
90.8,-0.1749460751,-0.368749327,0.1942089956,-0.1328504136,-0.06863163264,0.0303374143,0.04657379783,-0.08773011972,0.4740420251,2.083241324,9.309962013,0.1509579749,0.1011303077,0.0473545727,0.0001772044717,-0.0063339288,-0.0005778187951,-0.3844507058,-0.02707810147,0.07426778437
90.9,-0.1811737865,-0.3631207529,0.1974220304,-0.1409698759,-0.05562970889,0.08197344879,0.01759639513,-0.07452628316,0.4740762876,2.083875003,9.310131359,0.1509237124,0.1004893459,0.05203932759,0.0001616354429,-0.005265293771,-0.0004473063688,-0.3848743598,0.01862783713,0.07423763458
91,-0.1860124923,-0.3524202645,0.1977168082,-0.1477313882,-0.0408438941,0.13164235,-0.0117247148,-0.06059413938,0.474108695,2.084374404,9.310285443,0.150891305,0.09997592974,0.05744305106,0.0001465442931,-0.003918249729,-0.0003127098724,-0.3807294536,0.06420420388,0.07453854831
